clip_id	scenario	mic_filename	ref_filename	sha256_mic	sha256_ref
dt_01	doubletalk	-2jLGNCgf0WDpKMY2iup7g_doubletalk_mic.wav	-2jLGNCgf0WDpKMY2iup7g_doubletalk_lpb.wav	4e7e35290d763d2d22173976c2cfd46739c9afe76729a0c283c1b69609f22041	790203e68cc8cc9b02becc4efefbde0ddf962fff4d223608b00ffc8b2682ed71
dt_02	doubletalk	-3Jxai1udE6V32_c-aUJFA_doubletalk_mic.wav	-3Jxai1udE6V32_c-aUJFA_doubletalk_lpb.wav	1ac2c1f15a86672936bb0dbaaf3b3629b51db5021a1b520383e0564a62640ee2	424996165372b78ad73fc3ed4d88e2e57550f1fe49c82db4d7c0a18734011e91
dt_03	doubletalk	-3kWiJ8CXU6ZtIZn1yf8bg_doubletalk_mic.wav	-3kWiJ8CXU6ZtIZn1yf8bg_doubletalk_lpb.wav	ebbdc2b9a02269317a023e70b0ad0c924460741312b6ea9ca061ea761ee32a7a	2eee4c074ea6e735a9dfb17b023be2de2be725f65c4f1568bbcf97fc70e6ed82
dt_04	doubletalk	-6J2UYFUOkCkA0FbNaRyOQ_doubletalk_mic.wav	-6J2UYFUOkCkA0FbNaRyOQ_doubletalk_lpb.wav	0077dc2f33941421deef9e9632bc29b9dde7b2a951a6da78a64cc4e1df72c102	a16c71d98e8bddf4e7fdc1d39ecfa15534513e8571faded240fb706a64956ddd
dt_05	doubletalk	-6ZM9_DKN0WHCo5oYppZhQ_doubletalk_mic.wav	-6ZM9_DKN0WHCo5oYppZhQ_doubletalk_lpb.wav	13bdd1a6382edbc703698dae6caaaf62df5166b61505d7852e3b73d0803a8cdd	5d8c0035bd268d7618cf56c0d17635e650d60a5ee1de102263ca4fb5a624e20a
dt_06	doubletalk	-9OpPnj1J02C6RkA_o09dQ_doubletalk_mic.wav	-9OpPnj1J02C6RkA_o09dQ_doubletalk_lpb.wav	9201adda788b609147b468fb3574f317eeb2beeeba94a3a4a4dcbf37f07f22e1	89d4624aec301a9971771dd3ef106178938ea4ee7bb4e765764233101aca070f
dt_07	doubletalk	-9Qt1FJHC0afHFxhsdVzxw_doubletalk_mic.wav	-9Qt1FJHC0afHFxhsdVzxw_doubletalk_lpb.wav	f5aa19d8827bb16082d544a81150beb3339e1cab90b14f85b3ed6d7cf7b9e209	310dd20856ffb3de0b3013c9fc5e94f300ae05dabdd6882d8f700ad960aebf25
dt_08	doubletalk	-AQgRZRHXkKqI7jpf32Fyg_doubletalk_mic.wav	-AQgRZRHXkKqI7jpf32Fyg_doubletalk_lpb.wav	5d9e7b71ae19a499b3f7949ed086e4ca404e8ef5f08abfefd5e5feb57eeed559	2c1355ac78b7cd54791a1bc72b18f86da840e67878910e2b17076f46083959fb
dt_09	doubletalk	-BcqKIzPkEmJloA1Ty2ObA_doubletalk_mic.wav	-BcqKIzPkEmJloA1Ty2ObA_doubletalk_lpb.wav	33470e659d56497789de4d09e89a54f70fddc50390a915a2983aecd23094b55c	6eff8c9910d96bb114292f110641141839197112c5b8b42306754b6db9fc56d6
dt_10	doubletalk	-CzGajBhQkeK7COgs6bscw_doubletalk_mic.wav	-CzGajBhQkeK7COgs6bscw_doubletalk_lpb.wav	8cef1145b63d318fb884ea72d332326f914ed0291f1331edc2e5acf0aa54477e	8d76c09b0140ba4062c9a542ef71549106afa180a0181f0687ecf03be4fa4a4e
fe_01	farend_singletalk	-0AcvGNEdEK-DQGxWmtq2Q_farend_singletalk_mic.wav	-0AcvGNEdEK-DQGxWmtq2Q_farend_singletalk_lpb.wav	6b4c3e01b969c5cad91f248ff967cfa03df6554f3a060d6e5b06b7d20341bba6	9b204ad5473726526d14830103e53647897699ef89d49624964b7f2449040426
fe_02	farend_singletalk	-2jLGNCgf0WDpKMY2iup7g_farend_singletalk_mic.wav	-2jLGNCgf0WDpKMY2iup7g_farend_singletalk_lpb.wav	54868ace6819704acf4b0989dbc281880b24abe342612ec261071635e0665595	229b6fb79a7a446b9bcac11e4214cc0af802360be9b00f7db68524de563123a6
fe_03	farend_singletalk	-3Jxai1udE6V32_c-aUJFA_farend_singletalk_mic.wav	-3Jxai1udE6V32_c-aUJFA_farend_singletalk_lpb.wav	aafe3fb2432fde3694e518d1c183bb211b9be3594d7c5fbbcad982d06062cea2	ead624698fef8bf1aa4a5a3dc3a36eaa026356fba8498ae6e891a40a86bede43
fe_04	farend_singletalk	-3kWiJ8CXU6ZtIZn1yf8bg_farend_singletalk_mic.wav	-3kWiJ8CXU6ZtIZn1yf8bg_farend_singletalk_lpb.wav	4f694a4b7ba6bdde4ac0cb7ea11eac81d4d35db3bb59454242baa9a59166ffdf	924afdb4c62c5081b45c166c2675bd66e843334a78b280c6a5f768206f40f22f
fe_05	farend_singletalk	-4ZzhygVJ0i2f7wMpKYIqg_farend_singletalk_mic.wav	-4ZzhygVJ0i2f7wMpKYIqg_farend_singletalk_lpb.wav	1317cf52b238295a1e7d9603fd81f7006e42e69c5be6ec5e868ff997ffcacf5b	9a4a2bea84cdc8c48bd393540324f786950914a3fdda88842199ddc8f64f27dc
fe_06	farend_singletalk	-6J2UYFUOkCkA0FbNaRyOQ_farend_singletalk_mic.wav	-6J2UYFUOkCkA0FbNaRyOQ_farend_singletalk_lpb.wav	ad16bf44d78793f56d33a11274488cd3642f2d4cfe85b540791655c977e2b3e9	f34240647163293ee672cd8d590fa415e2cfaecd6123c4df186e3c40979f9ce2
fe_07	farend_singletalk	-6ZM9_DKN0WHCo5oYppZhQ_farend_singletalk_mic.wav	-6ZM9_DKN0WHCo5oYppZhQ_farend_singletalk_lpb.wav	9d24ee067872692246d7272b1f7eee372672f9b6682226efdfdff0401d0a4781	62b51e432632d4d158875cc254fc95405148f0c919565d4ae716f3b68dfeeeb2
fe_08	farend_singletalk	-9OpPnj1J02C6RkA_o09dQ_farend_singletalk_mic.wav	-9OpPnj1J02C6RkA_o09dQ_farend_singletalk_lpb.wav	4b861ee69b1f21f90863c70b119b1f51e7c94a031869649ca0f086e7c94a9f18	38f88f36eb1c154a37ca46259b8d6a3a7f913ae25723b42726ea6c67bebabae6
fe_09	farend_singletalk	-9Qt1FJHC0afHFxhsdVzxw_farend_singletalk_mic.wav	-9Qt1FJHC0afHFxhsdVzxw_farend_singletalk_lpb.wav	3e34567711e08b690844ad63565e25baae591a83c697a9750191da1129ad1b30	a73195070e74288f252b68d979ff3836a5cbbb57d2f5e3189849c727cfb52a91
